[2020-04-21 09:50:58] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-25180416]
[2020-04-21 09:50:58] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-33573120]
[2020-04-21 09:51:30] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-21 09:51:31] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-21 09:51:31] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-620767488]
[2020-04-21 09:51:31] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-629160192]
[2020-04-21 09:51:36] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-21 09:51:37] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-21 09:51:37] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1795151616]
[2020-04-21 09:51:37] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1786758912]
[2020-04-21 09:59:39] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2020-04-21 09:59:40] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [2623488]
[2020-04-21 09:59:40] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1430963968]
[2020-04-21 09:59:40] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1422571264]
